Ref,Val,Package,PosX,PosY,Rot,Side
"D1","DIODE","D_SOD123_axial-dual",61.050000,-103.040000,90.000000,bottom
"D2","DIODE","D_SOD123_axial-dual",80.100000,-103.040000,90.000000,bottom
"D3","DIODE","D_SOD123_axial-dual",97.880000,-103.040000,90.000000,bottom
"D4","DIODE","D_SOD123_axial-dual",100.420000,-103.040000,90.000000,bottom
"D5","DIODE","D_SOD123_axial-dual",61.050000,-83.990000,90.000000,bottom
"D6","DIODE","D_SOD123_axial-dual",80.100000,-83.990000,90.000000,bottom
"D7","DIODE","D_SOD123_axial-dual",97.880000,-83.990000,90.000000,bottom
"D8","DIODE","D_SOD123_axial-dual",100.420000,-83.990000,90.000000,bottom
"D9","DIODE","D_SOD123_axial-dual",61.050000,-64.940000,90.000000,bottom
"D10","DIODE","D_SOD123_axial-dual",80.100000,-64.940000,90.000000,bottom
"D11","DIODE","D_SOD123_axial-dual",97.880000,-64.940000,90.000000,bottom
"D12","DIODE","D_SOD123_axial-dual",100.420000,-64.940000,90.000000,bottom
"D13","DIODE","D_SOD123_axial-dual",61.050000,-45.890000,90.000000,bottom
"D14","DIODE","D_SOD123_axial-dual",80.100000,-45.890000,90.000000,bottom
"D15","DIODE","D_SOD123_axial-dual",97.880000,-45.890000,90.000000,bottom
"D16","DIODE","D_SOD123_axial-dual",100.420000,-45.890000,90.000000,bottom
"BT1","Battery_Cell","Keystone_1058_1x2032-CoinCell",173.578000,-75.100000,0.000000,top
"C1","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",132.430000,-56.050000,90.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",132.430000,-66.210000,270.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",136.240000,-70.020000,90.000000,top
"C4","100pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",132.430000,-49.700000,90.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",191.358000,-46.144000,270.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.617000,-56.050000,180.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",188.818000,-57.582999,270.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",169.641000,-49.328000,90.000000,top
"C11","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",158.084000,-87.808999,270.000000,top
"C12","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",132.938000,-81.966999,90.000000,top
"C13","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",154.274000,-101.516000,90.000000,top
"C14","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",125.826000,-75.100000,270.000000,top
"D1","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",169.260000,-106.850000,270.000000,top
"D2","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",165.958000,-106.850000,270.000000,top
"D3","1N4148","D_SOD-123",188.919600,-46.017000,90.000000,top
"D4","1N4148","D_SOD-123",188.919600,-51.807200,90.000000,top
"D7","1N4148","D_SOD-123",141.320000,-75.228000,270.000000,top
"D8","B5819W","D_SOD-123",148.940000,-87.038000,0.000000,top
"D10","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",145.130000,-106.850000,90.000000,top
"J17","USB_B_Micro","USB_Micro-B_Molex-105017-0001",186.506600,-39.692400,180.000000,top
"L1","10uH","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",132.430000,-61.130000,270.000000,top
"Q1","SI2301CDS-T1-GE3","SOT-23",148.924000,-90.406000,270.000000,top
"R1","10k","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",136.240000,-75.091000,270.000000,top
"R2","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",169.260000,-102.032999,90.000000,top
"R3","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",165.958000,-102.015001,90.000000,top
"R4","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",169.641003,-53.754994,90.000000,top
"R7","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",132.938000,-91.347000,270.000000,top
"R8","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",154.782000,-87.800000,90.000000,top
"R10","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",145.130000,-101.507001,270.000000,top
"R11","806k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",132.938000,-75.091000,90.000000,top
"R12","2M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",129.382000,-75.100000,270.000000,top
"SW2","RESET","SW_TACT_ALPS_SKQGABE010",137.510000,-105.580000,180.000000,top
"U2","CH340C","SOP-16_4.4x10.4mm_P1.27mm",179.801000,-49.192000,90.000000,top
"U3","TP4056","SSOP-8_3.95x5.21x3.27mm_P1.27mm",139.796000,-92.626000,0.000000,top
"U4","AP2112K-3.3","SOT-23-5",137.256000,-81.958000,90.000000,top
